iteration,operation_type,ecu_id,sec_level,key_len_bytes,latency_ms,status
0,SMK_createECDSAKey,-,-,-,5,success
0,SMK_getECDSAPublicKey,-,-,65,5,success
0,SMK_signDataECDSA,-,-,64,98,success
0,SMK_getMyECDHPublicKey,-,-,66,15,success
0,SMK_requestSessionKeyToGateway,-,-,60,119,success
0,SMK_computeMyECDHSharedSecret,-,-,32,17,success
0,SMK_decryptAndStoreSubMasterKey,-,-,32,21,success
0,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
1,SMK_createECDSAKey,-,-,-,3,success
1,SMK_getECDSAPublicKey,-,-,65,4,success
1,SMK_signDataECDSA,-,-,64,61,success
1,SMK_getMyECDHPublicKey,-,-,66,14,success
1,SMK_requestSessionKeyToGateway,-,-,60,93,success
1,SMK_computeMyECDHSharedSecret,-,-,32,16,success
1,SMK_decryptAndStoreSubMasterKey,-,-,32,27,success
1,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
2,SMK_createECDSAKey,-,-,-,3,success
2,SMK_getECDSAPublicKey,-,-,65,3,success
2,SMK_signDataECDSA,-,-,64,58,success
2,SMK_getMyECDHPublicKey,-,-,66,14,success
2,SMK_requestSessionKeyToGateway,-,-,60,120,success
2,SMK_computeMyECDHSharedSecret,-,-,32,16,success
2,SMK_decryptAndStoreSubMasterKey,-,-,32,26,success
2,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
3,SMK_createECDSAKey,-,-,-,3,success
3,SMK_getECDSAPublicKey,-,-,65,3,success
3,SMK_signDataECDSA,-,-,64,62,success
3,SMK_getMyECDHPublicKey,-,-,66,14,success
3,SMK_requestSessionKeyToGateway,-,-,60,72,success
3,SMK_computeMyECDHSharedSecret,-,-,32,14,success
3,SMK_decryptAndStoreSubMasterKey,-,-,32,25,success
3,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
4,SMK_createECDSAKey,-,-,-,3,success
4,SMK_getECDSAPublicKey,-,-,65,3,success
4,SMK_signDataECDSA,-,-,64,58,success
4,SMK_getMyECDHPublicKey,-,-,66,14,success
4,SMK_requestSessionKeyToGateway,-,-,60,135,success
4,SMK_computeMyECDHSharedSecret,-,-,32,14,success
4,SMK_decryptAndStoreSubMasterKey,-,-,32,29,success
4,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
5,SMK_createECDSAKey,-,-,-,5,success
5,SMK_getECDSAPublicKey,-,-,65,5,success
5,SMK_signDataECDSA,-,-,64,83,success
5,SMK_getMyECDHPublicKey,-,-,66,14,success
5,SMK_requestSessionKeyToGateway,-,-,60,134,success
5,SMK_computeMyECDHSharedSecret,-,-,32,15,success
5,SMK_decryptAndStoreSubMasterKey,-,-,32,29,success
5,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
6,SMK_createECDSAKey,-,-,-,5,success
6,SMK_getECDSAPublicKey,-,-,65,5,success
6,SMK_signDataECDSA,-,-,64,98,success
6,SMK_getMyECDHPublicKey,-,-,66,18,success
6,SMK_requestSessionKeyToGateway,-,-,60,101,success
6,SMK_computeMyECDHSharedSecret,-,-,32,18,success
6,SMK_decryptAndStoreSubMasterKey,-,-,32,26,success
6,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
7,SMK_createECDSAKey,-,-,-,4,success
7,SMK_getECDSAPublicKey,-,-,65,4,success
7,SMK_signDataECDSA,-,-,64,58,success
7,SMK_getMyECDHPublicKey,-,-,66,13,success
7,SMK_requestSessionKeyToGateway,-,-,60,76,success
7,SMK_computeMyECDHSharedSecret,-,-,32,14,success
7,SMK_decryptAndStoreSubMasterKey,-,-,32,23,success
7,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
8,SMK_createECDSAKey,-,-,-,3,success
8,SMK_getECDSAPublicKey,-,-,65,3,success
8,SMK_signDataECDSA,-,-,64,54,success
8,SMK_getMyECDHPublicKey,-,-,66,14,success
8,SMK_requestSessionKeyToGateway,-,-,60,126,success
8,SMK_computeMyECDHSharedSecret,-,-,32,14,success
8,SMK_decryptAndStoreSubMasterKey,-,-,32,28,success
8,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
9,SMK_createECDSAKey,-,-,-,5,success
9,SMK_getECDSAPublicKey,-,-,65,5,success
9,SMK_signDataECDSA,-,-,64,98,success
9,SMK_getMyECDHPublicKey,-,-,66,15,success
9,SMK_requestSessionKeyToGateway,-,-,60,116,success
9,SMK_computeMyECDHSharedSecret,-,-,32,16,success
9,SMK_decryptAndStoreSubMasterKey,-,-,32,31,success
9,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
10,SMK_createECDSAKey,-,-,-,4,success
10,SMK_getECDSAPublicKey,-,-,65,4,success
10,SMK_signDataECDSA,-,-,64,70,success
10,SMK_getMyECDHPublicKey,-,-,66,14,success
10,SMK_requestSessionKeyToGateway,-,-,60,98,success
10,SMK_computeMyECDHSharedSecret,-,-,32,14,success
10,SMK_decryptAndStoreSubMasterKey,-,-,32,27,success
10,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
11,SMK_createECDSAKey,-,-,-,4,success
11,SMK_getECDSAPublicKey,-,-,65,4,success
11,SMK_signDataECDSA,-,-,64,65,success
11,SMK_getMyECDHPublicKey,-,-,66,14,success
11,SMK_requestSessionKeyToGateway,-,-,60,113,success
11,SMK_computeMyECDHSharedSecret,-,-,32,14,success
11,SMK_decryptAndStoreSubMasterKey,-,-,32,27,success
11,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
12,SMK_createECDSAKey,-,-,-,4,success
12,SMK_getECDSAPublicKey,-,-,65,4,success
12,SMK_signDataECDSA,-,-,64,66,success
12,SMK_getMyECDHPublicKey,-,-,66,14,success
12,SMK_requestSessionKeyToGateway,-,-,60,115,success
12,SMK_computeMyECDHSharedSecret,-,-,32,14,success
12,SMK_decryptAndStoreSubMasterKey,-,-,32,28,success
12,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
13,SMK_createECDSAKey,-,-,-,4,success
13,SMK_getECDSAPublicKey,-,-,65,4,success
13,SMK_signDataECDSA,-,-,64,66,success
13,SMK_getMyECDHPublicKey,-,-,66,14,success
13,SMK_requestSessionKeyToGateway,-,-,60,116,success
13,SMK_computeMyECDHSharedSecret,-,-,32,17,success
13,SMK_decryptAndStoreSubMasterKey,-,-,32,25,success
13,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
14,SMK_createECDSAKey,-,-,-,3,success
14,SMK_getECDSAPublicKey,-,-,65,4,success
14,SMK_signDataECDSA,-,-,64,59,success
14,SMK_getMyECDHPublicKey,-,-,66,14,success
14,SMK_requestSessionKeyToGateway,-,-,60,114,success
14,SMK_computeMyECDHSharedSecret,-,-,32,14,success
14,SMK_decryptAndStoreSubMasterKey,-,-,32,27,success
14,ECU_Key_Derivation_Flow,-,-,-,0,skipped_by_config
15,SMK_createECDSAKey,-,-,-,4,success
15,SMK_getECDSAPublicKey,-,-,65,4,success
15,SMK_signDataECDSA,-,-,64,65,success
15,SMK_getMyECDHPublicKey,-,-,66,14,success
15,SMK_requestSessionKeyToGateway,-,-,60,114,success
