iteration,operation_type,ecu_id,sec_level,key_len_bytes,latency_ms,status
0,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
0,deriveECUKey_AES128,1020,20,16,2,success
1,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
1,deriveECUKey_AES128,1120,20,16,2,success
2,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
2,deriveECUKey_AES128,1220,20,16,2,success
3,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
3,deriveECUKey_AES128,1320,20,16,2,success
4,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
4,deriveECUKey_AES128,1420,20,16,2,success
5,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
5,deriveECUKey_AES128,1520,20,16,2,success
6,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
6,deriveECUKey_AES128,1620,20,16,2,success
7,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
7,deriveECUKey_AES128,1720,20,16,2,success
8,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
8,deriveECUKey_AES128,1820,20,16,2,success
9,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
9,deriveECUKey_AES128,1920,20,16,2,success
10,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
10,deriveECUKey_AES128,2020,20,16,2,success
11,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
11,deriveECUKey_AES128,2120,20,16,2,success
12,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
12,deriveECUKey_AES128,2220,20,16,2,success
13,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
13,deriveECUKey_AES128,2320,20,16,2,success
14,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
14,deriveECUKey_AES128,2420,20,16,2,success
15,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
15,deriveECUKey_AES128,2520,20,16,2,success
16,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
16,deriveECUKey_AES128,2620,20,16,2,success
17,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
17,deriveECUKey_AES128,2720,20,16,2,success
18,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
18,deriveECUKey_AES128,2820,20,16,2,success
19,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
19,deriveECUKey_AES128,2920,20,16,2,success
20,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
20,deriveECUKey_AES128,3020,20,16,2,success
21,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
21,deriveECUKey_AES128,3120,20,16,2,success
22,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
22,deriveECUKey_AES128,3220,20,16,2,success
23,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
23,deriveECUKey_AES128,3320,20,16,2,success
24,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
24,deriveECUKey_AES128,3420,20,16,2,success
25,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
25,deriveECUKey_AES128,3520,20,16,2,success
26,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
26,deriveECUKey_AES128,3620,20,16,2,success
27,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
27,deriveECUKey_AES128,3720,20,16,2,success
28,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
28,deriveECUKey_AES128,3820,20,16,2,success
29,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
29,deriveECUKey_AES128,3920,20,16,2,success
30,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
30,deriveECUKey_AES128,4020,20,16,2,success
31,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
31,deriveECUKey_AES128,4120,20,16,2,success
32,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
32,deriveECUKey_AES128,4220,20,16,2,success
33,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
33,deriveECUKey_AES128,4320,20,16,2,success
34,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
34,deriveECUKey_AES128,4420,20,16,2,success
35,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
35,deriveECUKey_AES128,4520,20,16,2,success
36,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
36,deriveECUKey_AES128,4620,20,16,2,success
37,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
37,deriveECUKey_AES128,4720,20,16,2,success
38,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
38,deriveECUKey_AES128,4820,20,16,2,success
39,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
39,deriveECUKey_AES128,4920,20,16,2,success
40,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
40,deriveECUKey_AES128,5020,20,16,2,success
41,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
41,deriveECUKey_AES128,5120,20,16,2,success
42,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
42,deriveECUKey_AES128,5220,20,16,2,success
43,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
43,deriveECUKey_AES128,5320,20,16,2,success
44,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
44,deriveECUKey_AES128,5420,20,16,2,success
45,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
45,deriveECUKey_AES128,5520,20,16,2,success
46,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
46,deriveECUKey_AES128,5620,20,16,2,success
47,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
47,deriveECUKey_AES128,5720,20,16,2,success
48,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
48,deriveECUKey_AES128,5820,20,16,2,success
49,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
49,deriveECUKey_AES128,5920,20,16,2,success
50,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
50,deriveECUKey_AES128,6020,20,16,2,success
51,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
51,deriveECUKey_AES128,6120,20,16,2,success
52,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
52,deriveECUKey_AES128,6220,20,16,2,success
53,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
53,deriveECUKey_AES128,6320,20,16,2,success
54,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
54,deriveECUKey_AES128,6420,20,16,2,success
55,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
55,deriveECUKey_AES128,6520,20,16,2,success
56,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
56,deriveECUKey_AES128,6620,20,16,2,success
57,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
57,deriveECUKey_AES128,6720,20,16,2,success
58,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
58,deriveECUKey_AES128,6820,20,16,2,success
59,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
59,deriveECUKey_AES128,6920,20,16,2,success
60,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
60,deriveECUKey_AES128,7020,20,16,2,success
61,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
61,deriveECUKey_AES128,7120,20,16,2,success
62,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
62,deriveECUKey_AES128,7220,20,16,2,success
63,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
63,deriveECUKey_AES128,7320,20,16,2,success
64,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
64,deriveECUKey_AES128,7420,20,16,2,success
65,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
65,deriveECUKey_AES128,7520,20,16,2,success
66,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
66,deriveECUKey_AES128,7620,20,16,2,success
67,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
67,deriveECUKey_AES128,7720,20,16,2,success
68,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
68,deriveECUKey_AES128,7820,20,16,2,success
69,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
69,deriveECUKey_AES128,7920,20,16,2,success
70,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
70,deriveECUKey_AES128,8020,20,16,2,success
71,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
71,deriveECUKey_AES128,8120,20,16,2,success
72,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
72,deriveECUKey_AES128,8220,20,16,2,success
73,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
73,deriveECUKey_AES128,8320,20,16,2,success
74,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
