iteration,operation_type,ecu_id,sec_level,key_len_bytes,latency_ms,status
0,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
0,deriveECUKey_AES_GCM_128,1030,30,16,2,success
1,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
1,deriveECUKey_AES_GCM_128,1130,30,16,2,success
2,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
2,deriveECUKey_AES_GCM_128,1230,30,16,2,success
3,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
3,deriveECUKey_AES_GCM_128,1330,30,16,2,success
4,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
4,deriveECUKey_AES_GCM_128,1430,30,16,2,success
5,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
5,deriveECUKey_AES_GCM_128,1530,30,16,2,success
6,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
6,deriveECUKey_AES_GCM_128,1630,30,16,2,success
7,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
7,deriveECUKey_AES_GCM_128,1730,30,16,2,success
8,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
8,deriveECUKey_AES_GCM_128,1830,30,16,2,success
9,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
9,deriveECUKey_AES_GCM_128,1930,30,16,2,success
10,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
10,deriveECUKey_AES_GCM_128,2030,30,16,2,success
11,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
11,deriveECUKey_AES_GCM_128,2130,30,16,2,success
12,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
12,deriveECUKey_AES_GCM_128,2230,30,16,2,success
13,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
13,deriveECUKey_AES_GCM_128,2330,30,16,2,success
14,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
14,deriveECUKey_AES_GCM_128,2430,30,16,2,success
15,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
15,deriveECUKey_AES_GCM_128,2530,30,16,2,success
16,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
16,deriveECUKey_AES_GCM_128,2630,30,16,2,success
17,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
17,deriveECUKey_AES_GCM_128,2730,30,16,2,success
18,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
18,deriveECUKey_AES_GCM_128,2830,30,16,2,success
19,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
19,deriveECUKey_AES_GCM_128,2930,30,16,2,success
20,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
20,deriveECUKey_AES_GCM_128,3030,30,16,2,success
21,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
21,deriveECUKey_AES_GCM_128,3130,30,16,2,success
22,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
22,deriveECUKey_AES_GCM_128,3230,30,16,2,success
23,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
23,deriveECUKey_AES_GCM_128,3330,30,16,2,success
24,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
24,deriveECUKey_AES_GCM_128,3430,30,16,2,success
25,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
25,deriveECUKey_AES_GCM_128,3530,30,16,2,success
26,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
26,deriveECUKey_AES_GCM_128,3630,30,16,2,success
27,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
27,deriveECUKey_AES_GCM_128,3730,30,16,2,success
28,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
28,deriveECUKey_AES_GCM_128,3830,30,16,2,success
29,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
29,deriveECUKey_AES_GCM_128,3930,30,16,2,success
30,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
30,deriveECUKey_AES_GCM_128,4030,30,16,2,success
