iteration,operation_type,ecu_id,sec_level,key_len_bytes,latency_ms,status
0,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
0,deriveECUKey_CMAC_AES128,1010,10,16,2,success
1,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
1,deriveECUKey_CMAC_AES128,1110,10,16,2,success
2,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
2,deriveECUKey_CMAC_AES128,1210,10,16,2,success
3,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
3,deriveECUKey_CMAC_AES128,1310,10,16,2,success
4,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
4,deriveECUKey_CMAC_AES128,1410,10,16,2,success
5,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
5,deriveECUKey_CMAC_AES128,1510,10,16,2,success
6,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
6,deriveECUKey_CMAC_AES128,1610,10,16,2,success
7,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
7,deriveECUKey_CMAC_AES128,1710,10,16,2,success
8,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
8,deriveECUKey_CMAC_AES128,1810,10,16,2,success
9,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
9,deriveECUKey_CMAC_AES128,1910,10,16,2,success
10,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
10,deriveECUKey_CMAC_AES128,2010,10,16,2,success
11,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
11,deriveECUKey_CMAC_AES128,2110,10,16,2,success
12,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
12,deriveECUKey_CMAC_AES128,2210,10,16,2,success
13,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
13,deriveECUKey_CMAC_AES128,2310,10,16,2,success
14,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
14,deriveECUKey_CMAC_AES128,2410,10,16,2,success
15,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
15,deriveECUKey_CMAC_AES128,2510,10,16,2,success
16,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
16,deriveECUKey_CMAC_AES128,2610,10,16,2,success
17,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
17,deriveECUKey_CMAC_AES128,2710,10,16,2,success
18,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
18,deriveECUKey_CMAC_AES128,2810,10,16,2,success
19,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
19,deriveECUKey_CMAC_AES128,2910,10,16,2,success
20,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
20,deriveECUKey_CMAC_AES128,3010,10,16,2,success
21,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
21,deriveECUKey_CMAC_AES128,3110,10,16,2,success
22,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
22,deriveECUKey_CMAC_AES128,3210,10,16,2,success
23,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
23,deriveECUKey_CMAC_AES128,3310,10,16,2,success
24,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
24,deriveECUKey_CMAC_AES128,3410,10,16,2,success
25,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
25,deriveECUKey_CMAC_AES128,3510,10,16,2,success
26,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
26,deriveECUKey_CMAC_AES128,3610,10,16,2,success
27,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
27,deriveECUKey_CMAC_AES128,3710,10,16,2,success
28,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
28,deriveECUKey_CMAC_AES128,3810,10,16,2,success
29,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
29,deriveECUKey_CMAC_AES128,3910,10,16,2,success
30,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
30,deriveECUKey_CMAC_AES128,4010,10,16,2,success
31,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
31,deriveECUKey_CMAC_AES128,4110,10,16,2,success
32,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
