iteration,operation_type,ecu_id,sec_level,key_len_bytes,latency_ms,status
0,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
0,deriveECUKey_HMAC_SHA256,1011,11,32,2,success
1,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
1,deriveECUKey_HMAC_SHA256,1111,11,32,2,success
2,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
2,deriveECUKey_HMAC_SHA256,1211,11,32,2,success
3,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
3,deriveECUKey_HMAC_SHA256,1311,11,32,2,success
4,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
4,deriveECUKey_HMAC_SHA256,1411,11,32,2,success
5,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
5,deriveECUKey_HMAC_SHA256,1511,11,32,2,success
6,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
6,deriveECUKey_HMAC_SHA256,1611,11,32,2,success
7,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
7,deriveECUKey_HMAC_SHA256,1711,11,32,2,success
8,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
8,deriveECUKey_HMAC_SHA256,1811,11,32,2,success
9,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
9,deriveECUKey_HMAC_SHA256,1911,11,32,2,success
10,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
10,deriveECUKey_HMAC_SHA256,2011,11,32,2,success
11,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
11,deriveECUKey_HMAC_SHA256,2111,11,32,2,success
12,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
12,deriveECUKey_HMAC_SHA256,2211,11,32,2,success
13,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
13,deriveECUKey_HMAC_SHA256,2311,11,32,2,success
14,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
14,deriveECUKey_HMAC_SHA256,2411,11,32,2,success
15,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
15,deriveECUKey_HMAC_SHA256,2511,11,32,2,success
16,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
16,deriveECUKey_HMAC_SHA256,2611,11,32,2,success
17,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
17,deriveECUKey_HMAC_SHA256,2711,11,32,2,success
18,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
18,deriveECUKey_HMAC_SHA256,2811,11,32,2,success
19,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
19,deriveECUKey_HMAC_SHA256,2911,11,32,2,success
20,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
20,deriveECUKey_HMAC_SHA256,3011,11,32,2,success
21,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
21,deriveECUKey_HMAC_SHA256,3111,11,32,2,success
22,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
22,deriveECUKey_HMAC_SHA256,3211,11,32,2,success
23,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
23,deriveECUKey_HMAC_SHA256,3311,11,32,2,success
24,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
24,deriveECUKey_HMAC_SHA256,3411,11,32,2,success
25,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
25,deriveECUKey_HMAC_SHA256,3511,11,32,2,success
26,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
26,deriveECUKey_HMAC_SHA256,3611,11,32,2,success
27,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
27,deriveECUKey_HMAC_SHA256,3711,11,32,2,success
28,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
28,deriveECUKey_HMAC_SHA256,3811,11,32,2,success
29,SMK_Exchange_Flow,-,-,-,0,skipped_assumed_exists
